id,FIN,cafo_name,geometry,satellite_name,county,city_town,Latitude,Longitude
0,14142,Abel Dairy Farms LLC,POINT (-88.35828202339258 43.70203812750967),,Fond du Lac,EDEN,43.70203812750970,-88.35828202339260
1,47537,Augustine Dairy Farm,POINT (-90.92254497927027 45.29385021953632),,Taylor,MCKINLEY,45.29385021953630,-90.92254497927030
2,5542,Babcock Genetics LLC,POINT (-91.30686392332547 43.95976198972119),,La Crosse,HOLLAND,43.95976198972120,-91.30686392332550
3,18978,Bach Farms LLC,POINT (-90.35558477330551 45.002989211788964),,Clark,MAYVILLE,45.00298921178900,-90.35558477330550
4,41773,Badger Holsteins of Unity LLC,POINT (-90.41529477141677 44.84284018322348),,Clark,UNITY,44.84284018322350,-90.41529477141680
5,41046,Badger Pride Dairy LLC,POINT (-87.89404892147562 44.037139209313516),,Manitowoc,LIBERTY,44.03713920931350,-87.89404892147560
6,52209,BADGERWOOD LLC,POINT (-91.02452517631913 46.51964139362555),,Bayfield,EILEEN,46.51964139362560,-91.02452517631910
7,58274,Bella Vista Dairy Inc,POINT (-90.27992448471751 42.74550185799119),,Lafayette,KENDALL,42.74550185799120,-90.27992448471750
8,33947,Betley Farms LLC,POINT (-88.3187391195696 44.64517228211103),,Shawano,MAPLE GROVE,44.64517228211100,-88.3187391195696
9,41675,Blaser Farms Inc,POINT (-88.2248641207419 44.89513232674754),,Oconto,OCONTO FALLS,44.89513232674750,-88.2248641207419
10,53801,Schilling Brothers Land LLC,POINT (-90.49073456885056 42.95258387971592),,Grant,WINGVILLE,42.95258387971590,-90.49073456885060
11,17359,Burr Oak Heifers LLC,POINT (-89.61029542928219 43.99403909989264),,Adams,RICHFIELD,43.99403909989260,-89.61029542928220
12,21913,MS Farming LLC,POINT (-90.54840877984333 44.59647013666224),,Clark,GRANT,44.59647013666220,-90.54840877984330
13,16809,Calf Source LLC,POINT (-87.96132497439307 44.32622625177277),,Brown,MORRISON,44.32622625177280,-87.96132497439310
14,34971,Central Sands Dairy LLC,POINT (-89.9706675629778 44.222222114461196),,Juneau,ARMENIA,44.2222221144612,-89.9706675629778
15,28479,Chapman Farms - Dairy,POINT (-90.56325470825348 43.970804038356675),,Monroe,ADRIAN,43.97080403835670,-90.56325470825350
16,20967,"CHIPPEWA VIEW FARMS, LLC",POINT (-91.2108571224662 45.73107826574529),,Sawyer,RADISSON,45.73107826574530,-91.2108571224662
17,44943,Christian Hill Dairy LLC,POINT (-88.45334703795163 43.573455101062095),,Dodge,LOMIRA,43.573455101062100,-88.45334703795160
18,32531,Clark View Farms LLC,POINT (-91.08130673968492 42.94598284255801),,Grant,WYALUSING,42.94598284255800,-91.08130673968490
19,16778,Clover Hill Dairy,POINT (-88.37335001339711 43.56339310396245),,Fond du Lac,ASHFORD,43.56339310396250,-88.37335001339710
20,45793,Coleman Ponderosa LLC,POINT (-88.0663520925128 45.05984836281615),,Marinette,POUND,45.05984836281620,-88.0663520925128
21,48180,Collins Dairy LLC,POINT (-87.97134197162092 44.27204624330291),,Brown,MORRISON,44.27204624330290,-87.97134197162090
22,45639,Crailoo Dairy Farm LLC,POINT (-88.49942805950631 43.64844611105825),,Fond du Lac,BYRON,43.64844611105830,-88.49942805950630
23,35966,C Dairy LLC West,POINT (-91.76634515189863 44.713929075987856),,Dunn,ROCK CREEK,44.713929075987900,-91.76634515189860
24,16905,Crave Brothers Farm LLC,POINT (-88.96240015192512 43.23632401626409),,Dodge,PORTLAND,43.23632401626410,-88.96240015192510
25,37676,Dachel Hog Farm,POINT (-91.51820311139734 44.96423813025125),,Chippewa,TILDEN,44.96423813025130,-91.51820311139730
26,20199,Dairy Dreams LLC,POINT (-87.58847590032805 44.66310132803527),,Kewaunee,LINCOLN,44.66310132803530,-87.58847590032810
27,14767,Dairyland Farm LLC,POINT (-87.80474795172347 44.541386295907),,Brown,GREEN BAY,44.541386295907,-87.80474795172350
28,14139,Darlington Ridge Farms LLC,POINT (-90.29476047997866 42.65246784251661),,Lafayette,SEYMOUR,42.65246784251660,-90.29476047997870
29,5119,Daybreak Foods Inc Lake Mills Complex,POINT (-89.01220415179243 43.09202998983919),,Dane,DEERFIELD,43.09202998983920,-89.01220415179240
30,44060,DC KAMPS,POINT (-90.29315848287378 42.683753847871),,Lafayette,SEYMOUR,42.683753847871,-90.29315848287380
31,63318,DC Kamps Rockville,POINT (-90.68051360056253 42.73949583342365),,Grant,POTOSI,42.73949583342370,-90.68051360056250
32,46615,Denmark Dairy LLC,POINT (-91.78590019131879 44.97445111475643),,Dunn,TAINTER,44.97445111475640,-91.7859001913188
33,15053,Dietsche Dairy LLC,POINT (-90.36525874038736 44.71409216645469),,Clark,SHERMAN,44.71409216645470,-90.36525874038740
34,41865,Dutch Dairy LLC,POINT (-90.76197088316913 44.92044317317855),,Clark,RESEBURG,44.92044317317860,-90.76197088316910
35,31548,El Na Farms LLC,POINT (-87.56527488693578 44.601951319455566),,Kewaunee,LINCOLN,44.601951319455600,-87.56527488693580
36,41772,Erickson Dairy LLC,POINT (-90.56145077391734 44.52255412413213),,Clark,PINE VALLEY,44.52255412413210,-90.56145077391730
37,52263,Fischer Clark Dairy,POINT (-89.36838745811144 44.83192524713976),,Marathon,REID,44.83192524713980,-89.36838745811140
38,47836,Fitz Pine Dairy Farm Inc,POINT (-87.8239498934671 43.97702820383319),,Manitowoc,MEEME,43.97702820383320,-87.8239498934671
39,33398,Four Mile Creek Dairy LLC,POINT (-91.89231226695321 45.30953615712807),,Barron,MAPLE GROVE,45.30953615712810,-91.8923122669532
40,23548,Gordondale Farms Inc,POINT (-89.29310639497494 44.50277520066382),,Portage,AMHERST,44.50277520066380,-89.29310639497490
41,15244,Green Valley Dairy LLC,POINT (-88.29440112809647 44.78229530542799),,Shawano,GREEN VALLEY,44.78229530542800,-88.29440112809650
42,10203,Grotegut Dairy Farm Inc.,POINT (-87.75892487596207 43.99189021032122),,Manitowoc,NEWTON,43.99189021032120,-87.75892487596210
43,37120,Halls Calf Ranch,POINT (-87.65354089705089 44.458869291855386),,Kewaunee,MONTPELIER,44.458869291855400,-87.65354089705090
44,12964,Hamlin Valley Farms Inc,POINT (-91.43167103321625 44.55155207331376),,Trempealeau,ALBION,44.55155207331380,-91.43167103321620
45,61212,Hawk High Dairy,POINT (-90.6200987125543 43.86859201805168),,Monroe,RIDGEVILLE,43.86859201805170,-90.6200987125543
46,17362,Heeg Brothers Dairy LLC,POINT (-90.16837170416954 44.8997732079318),,Marathon,FRANKFORT,44.8997732079318,-90.16837170416950
47,5118,HIDDEN VALLEY FARMS INC,POINT (-90.25982148380122 42.779900864894564),,Lafayette,KENDALL,42.77990086489460,-90.25982148380120
48,49188,High Point Farms LLC,POINT (-89.88942535500293 42.58717285489082),,Lafayette,WAYNE,42.58717285489080,-89.88942535500290
49,63159,"Horsens Homestead Farms, LLC",POINT (-88.34514715070301 44.84001131146114),,Shawano,GREEN VALLEY,44.84001131146110,-88.34514715070300
50,48126,Hornstead Dairy,POINT (-88.05756499392574 44.23962923286369),,Calumet,BRILLION,44.23962923286370,-88.05756499392570
51,38020,J M Schmidt and Sons Inc,POINT (-88.43512502287656 43.48759408788459),,Dodge,THERESA,43.48759408788460,-88.43512502287660
52,52977,Jil Ro Sie Holsteins,POINT (-92.52509236984815 44.70124402489998),,Pierce,TRIMBELLE,44.70124402490000,-92.52509236984820
53,34600,John and Mary Jane Higbie,POINT (-91.70850717237818 45.00932112462627),,Dunn,COLFAX,45.00932112462630,-91.70850717237820
54,48036,Johnson Hill Farm LLC,POINT (-87.89858792206716 44.03235320797946),,Manitowoc,LIBERTY,44.03235320797950,-87.89858792206720
55,37353,Junction View Dairy LLC,POINT (-90.36360056767899 43.27159893915063),,Richland,ORION,43.27159893915060,-90.363600567679
